"occurrenceStatus","geometry"
"ABSENT",c(98.3750005039028, -5.37500071757434)
"ABSENT",c(-1.025001855726, -25.9250005433214)
"ABSENT",c(-40.9750028040879, 4.42499919932694)
"ABSENT",c(-179.425006090714, -21.5750005802071)
"ABSENT",c(176.325002354336, -15.1750006344756)
"ABSENT",c(81.7250001086531, -2.77500073962094)
"ABSENT",c(-156.625005549471, -2.27500074386067)
"ABSENT",c(-70.525003505567, -22.6750005708797)
"ABSENT",c(73.9249999234911, 5.62499918915159)
"ABSENT",c(-95.6250041014089, -34.1750004733659)
"ABSENT",c(-4.27500193287685, -27.2750005318742)
"ABSENT",c(-105.125004326927, -8.02500069510378)
"ABSENT",c(-122.075004729298, 28.8249989924281)
"ABSENT",c(-159.775005624248, 31.8749989665658)
"ABSENT",c(-154.67500550318, 16.7249990950296)
"ABSENT",c(70.9749998534619, -4.77500072266202)
"ABSENT",c(-54.8250031328691, 7.42499917388856)
"ABSENT",c(143.875001584015, 28.724998993276)
"ABSENT",c(166.425002119323, -7.87500069637569)
"ABSENT",c(88.1750002617678, -14.8750006370195)
"ABSENT",c(167.025002133566, 35.4249989364637)
"ABSENT",c(5.224998292641, -30.9250005009241)
"ABSENT",c(-106.775004366096, -35.4250004627666)
"ABSENT",c(-83.3750038106096, 2.62499921458997)
"ABSENT",c(-104.025004300814, -7.12500070273529)
"ABSENT",c(61.6249996315048, 1.97499922010162)
"ABSENT",c(125.425001146035, -5.52500071630243)
"ABSENT",c(-103.975004299627, -36.275000455559)
"ABSENT",c(63.5249996766084, 7.17499917600843)
"ABSENT",c(-94.6750040788571, -30.2750005064358)
"ABSENT",c(-120.925004701999, 15.0249991094447)
"ABSENT",c(-155.975005534041, 37.924998915265)
"ABSENT",c(-12.6750021322821, 1.97499922010162)
"ABSENT",c(-124.775004793393, -7.87500069637569)
"ABSENT",c(-146.52500530971, -34.0750004742138)
"ABSENT",c(-174.975005985076, 28.1249989983637)
"ABSENT",c(145.225001616062, 10.7749991454824)
"ABSENT",c(-28.7750025144755, -12.2750006590661)
"ABSENT",c(171.125002230895, 29.2749989886124)
"ABSENT",c(107.825000728234, 6.62499918067213)
"ABSENT",c(59.6249995840274, -20.7750005869907)
"ABSENT",c(-177.375006042049, 28.3749989962439)
"ABSENT",c(113.025000851675, 7.52499917304061)
"ABSENT",c(-37.1250027126938, -21.8750005776632)
"ABSENT",c(11.2749984362603, -22.9750005683358)
"ABSENT",c(-11.8750021132911, -27.4250005306022)
"ABSENT",c(-163.275005707333, 27.1249990068432)
"ABSENT",c(-130.225004922769, 29.9749989826767)
"ABSENT",c(121.025001041585, -8.32500069255994)
"ABSENT",c(-159.325005613565, -31.9250004924447)
"ABSENT",c(63.5749996777953, 2.42499921628586)
"ABSENT",c(175.12500232585, 10.7749991454824)
"ABSENT",c(-175.425005995759, 6.97499917770432)
"ABSENT",c(-145.87500529428, 25.0249990246501)
"ABSENT",c(-133.275004995172, 23.9249990339775)
"ABSENT",c(-21.8250023494914, 28.6749989937)
"ABSENT",c(-111.075004468172, -30.9750005005002)
"ABSENT",c(64.2749996944124, -5.77500071418256)
"ABSENT",c(-146.625005312084, -10.9750006700894)
"ABSENT",c(-111.325004474107, -33.5750004784536)
"ABSENT",c(77.925000018446, -40.2750004216412)
"ABSENT",c(-86.975003896069, -21.5250005806311)
"ABSENT",c(174.325002306859, 40.8749988902506)
"ABSENT",c(144.225001592323, 39.5249989016979)
"ABSENT",c(46.1249992635547, -5.4750007167264)
"ABSENT",c(-152.925005461638, 27.7249990017555)
"ABSENT",c(-13.2750021465253, -32.7750004852371)
"ABSENT",c(-136.07500506164, 16.9249990933337)
"ABSENT",c(155.725001865318, -21.325000582327)
"ABSENT",c(61.4249996267571, -24.7250005534968)
"ABSENT",c(-96.6750041263346, -7.47500069976748)
"ABSENT",c(143.575001576893, 14.2749991158043)
"ABSENT",c(-88.7750039387987, -11.9750006616099)
"ABSENT",c(-131.525004953629, -4.1750007277497)
"ABSENT",c(-146.575005310897, -13.5250006484667)
"ABSENT",c(-75.8750036325692, -26.6750005369618)
"ABSENT",c(40.1249991211223, -24.6250005543447)
"ABSENT",c(-169.125005846205, -22.3750005734235)
"ABSENT",c(-141.62500519339, -1.97500074640451)
"ABSENT",c(-178.925006078844, 26.6249990110829)
"ABSENT",c(0.624998183442898, -19.2250006001338)
"ABSENT",c(-165.975005771428, -20.9250005857187)
"ABSENT",c(-152.025005440273, -21.375000581903)
"ABSENT",c(146.325001642174, -39.7250004263049)
"ABSENT",c(57.1749995258675, -1.7750007481004)
"ABSENT",c(-24.8250024207075, 5.32499919169543)
"ABSENT",c(-124.97500479814, -32.625000486509)
"ABSENT",c(159.77500196146, 28.8249989924281)
"ABSENT",c(74.3249999329866, 11.4249991399707)
"ABSENT",c(-140.025005155408, 24.874999025922)
"ABSENT",c(-14.1250021667032, 32.374998962326)
"ABSENT",c(-135.175005040275, 26.2749990140507)
"ABSENT",c(-135.075005037901, 35.1749989385835)
"ABSENT",c(-90.075003969659, -28.6250005204269)
"ABSENT",c(178.175002398253, -7.77500069722364)
"ABSENT",c(108.525000744851, -20.7750005869907)
"ABSENT",c(24.9749987614807, -38.5750004360563)
"ABSENT",c(143.725001580454, 6.12499918491186)
"ABSENT",c(-38.525002745928, -17.0750006183647)
"ABSENT",c(161.825002010125, -29.7750005106755)
"ABSENT",c(100.675000558502, 3.47499920738243)
"ABSENT",c(-153.975005486563, 34.4249989449431)
"ABSENT",c(4.92499828551939, -9.7250006806887)
"ABSENT",c(-67.5750034355378, 42.4749988766835)
"ABSENT",c(-84.3750038343483, -1.47500075064424)
"ABSENT",c(59.7749995875882, -4.22500072732573)
"ABSENT",c(173.175002279559, 10.9249991442104)
"ABSENT",c(-154.375005496059, -30.9750005005002)
"ABSENT",c(-174.925005983889, -3.17500073622916)
"ABSENT",c(112.375000836245, -8.82500068832021)
"ABSENT",c(176.975002369766, -20.7250005874146)
"ABSENT",c(174.475002310419, 8.02499916880088)
"ABSENT",c(-87.0750038984429, -25.8250005441694)
"ABSENT",c(-5.02500195068089, -29.6750005115235)
"ABSENT",c(-73.3750035732224, -20.2250005916544)
"ABSENT",c(-179.375006089527, 24.1249990322816)
"ABSENT",c(-27.7750024907368, -13.8750006454989)
"ABSENT",c(-99.3750041904291, 16.1749990996933)
"ABSENT",c(-151.825005435525, -34.0750004742138)
"ABSENT",c(175.575002336532, -36.5750004530152)
"ABSENT",c(-8.42500203139252, -9.7250006806887)
"ABSENT",c(-50.6750030343535, 9.77499915396183)
"ABSENT",c(-121.475004715055, 34.7749989419753)
"ABSENT",c(-160.075005631369, 12.2249991331872)
"ABSENT",c(112.12500083031, -32.2250004899008)
"ABSENT",c(-93.1750040432491, 18.7749990776467)
"ABSENT",c(-58.6250032230763, 38.8249989076335)
"ABSENT",c(-179.175006084779, 1.27499922603725)
"ABSENT",c(176.125002349588, 24.2249990314336)
"ABSENT",c(109.475000767403, -19.0250006018297)
"ABSENT",c(43.9749992125164, -28.6250005204269)
"ABSENT",c(-121.475004715055, 34.8249989415513)
"ABSENT",c(-148.125005347692, 19.9749990674713)
"ABSENT",c(-151.475005427216, -24.5250005551927)
"ABSENT",c(-126.425004832562, 26.3249990136268)
"ABSENT",c(-108.575004408825, 6.92499917812829)
"ABSENT",c(-151.725005433151, -33.2250004814214)
"ABSENT",c(-178.275006063414, 19.6249990704391)
"ABSENT",c(-136.425005069949, 41.1749988877068)
"ABSENT",c(-160.7250056468, 37.5249989186568)
"ABSENT",c(-62.3250033109095, 41.4249988855869)
"ABSENT",c(-113.72500453108, -15.1250006348996)
"ABSENT",c(-178.67500607291, 29.8749989835247)
"ABSENT",c(76.9249999947073, 4.92499919508721)
"ABSENT",c(-122.575004741167, -24.9250005518009)
"ABSENT",c(-138.5250051198, -4.62500072393394)
"ABSENT",c(72.7749998961916, 16.9249990933337)
"ABSENT",c(-168.475005830775, 20.6749990615357)
"ABSENT",c(6.02499831163198, -16.2250006255722)
"ABSENT",c(-0.775001849791323, -39.2250004305446)
"ABSENT",c(-89.5750039577897, -31.1250004992282)
"ABSENT",c(-7.67500201358848, -32.9250004839652)
"ABSENT",c(-111.775004484789, 6.92499917812829)
"ABSENT",c(-95.8750041073436, 3.92499920356667)
"ABSENT",c(78.9750000433716, -2.62500074089287)
"ABSENT",c(-84.4750038367222, 0.474999232820814)
"ABSENT",c(-105.525004336422, -16.9250006196366)
"ABSENT",c(80.3750000766058, -6.27500070994283)
"ABSENT",c(-105.775004342357, 4.37499919975092)
"ABSENT",c(-99.1750041856814, -32.6750004860851)
"ABSENT",c(-31.9250025892524, 16.5749990963015)
"ABSENT",c(-70.525003505567, 11.2749991412426)
"ABSENT",c(-21.0750023316873, -35.6750004606467)
"ABSENT",c(99.775000537137, 3.67499920568654)
"ABSENT",c(-13.3750021488992, -2.57500074131683)
"ABSENT",c(-32.5250026034957, -9.32500068408048)
"ABSENT",c(-81.5750037678799, -25.6750005454413)
"ABSENT",c(-161.975005676473, -14.1750006429551)
"ABSENT",c(60.2249995982706, -17.5750006141249)
"ABSENT",c(162.075002016059, -30.9250005009241)
"ABSENT",c(-155.625005525732, -34.0250004746378)
"ABSENT",c(-21.6750023459306, 34.224998946639)
"ABSENT",c(-0.725001848604364, 4.67499919720708)
"ABSENT",c(-178.425006066975, -22.7750005700317)
"ABSENT",c(67.9249997810588, 14.1749991166522)
"ABSENT",c(-27.0250024729327, 6.87499917855227)
"ABSENT",c(153.775001819028, 3.9749992031427)
"ABSENT",c(-6.07500197560654, -31.8750004928687)
"ABSENT",c(68.2749997893673, 5.32499919169543)
"ABSENT",c(120.975001040398, -6.17500071079078)
"ABSENT",c(111.375000812506, 15.0749991090207)
"ABSENT",c(-21.8750023506783, 25.7749990182905)
"ABSENT",c(171.325002235642, 5.02499919423926)
"ABSENT",c(-102.875004273515, -14.025000644227)
"ABSENT",c(101.825000585801, -9.62500068153664)
"ABSENT",c(-44.5750028895472, 42.4249988771074)
"ABSENT",c(167.325002140688, 23.6249990365213)
"ABSENT",c(57.4749995329891, -9.32500068408048)
"ABSENT",c(-4.67500194237232, -27.2250005322981)
"ABSENT",c(-14.9250021856942, -10.325000675601)
"ABSENT",c(70.2749998368448, -23.7250005619762)
"ABSENT",c(45.7749992552461, -34.2750004725179)
"ABSENT",c(-154.425005497246, 18.8249990772227)
"ABSENT",c(115.925000920517, 13.0749991259796)
"ABSENT",c(-54.175003117439, 6.5749991810961)
"ABSENT",c(-73.5250035767832, -39.0750004318165)
"ABSENT",c(149.675001721699, -0.67500075742781)
"ABSENT",c(-34.1750026426646, -6.07500071163872)
"ABSENT",c(-156.225005539975, -21.9250005772393)
"ABSENT",c(167.375002141875, 28.2249989975158)
"ABSENT",c(-62.775003321592, 39.9749988978821)
"ABSENT",c(66.1249997383291, -38.9750004326645)
"ABSENT",c(155.225001853449, -29.5750005123714)
"ABSENT",c(-135.225005041462, 32.6749989597822)
"ABSENT",c(-34.5750026521601, 41.624998883891)
"ABSENT",c(162.625002029116, 39.5749989012739)
"ABSENT",c(73.974999924678, 2.52499921543792)
"ABSENT",c(174.175002303298, -37.4250004458076)
"ABSENT",c(-135.875005056892, 4.37499919975092)
"ABSENT",c(112.425000837432, -9.57500068196061)
"ABSENT",c(-100.625004220103, 1.87499922094957)
"ABSENT",c(146.975001657605, 23.3249990390651)
"ABSENT",c(-25.27500243139, -19.8750005946222)
"ABSENT",c(80.275000074232, -19.625000596742)
"ABSENT",c(-141.975005201699, 39.4749989021219)
"ABSENT",c(155.925001870066, 30.6749989767411)
"ABSENT",c(159.175001947217, -29.1750005157632)
"ABSENT",c(-163.925005722764, -35.3750004631905)
"ABSENT",c(145.42500162081, 27.1749990064192)
"ABSENT",c(-144.225005255111, -32.8250004848132)
"ABSENT",c(-10.3250020764961, 4.32499920017489)
"ABSENT",c(-151.275005422469, 1.47499922434135)
"ABSENT",c(-160.175005633743, 29.2249989890363)
"ABSENT",c(-40.7250027981532, 18.0749990835823)
"ABSENT",c(54.2749994570252, 26.5749990115069)
"ABSENT",c(177.875002391131, 29.3749989877644)
"ABSENT",c(35.724999016672, -28.7250005195789)
"ABSENT",c(-34.625002653347, 0.37499923366876)
"ABSENT",c(168.875002177483, 37.6249989178089)
"ABSENT",c(11.9749984528774, -36.4250004542871)
"ABSENT",c(-126.525004834935, 21.4749990547521)
"ABSENT",c(-173.12500594116, 8.82499916201731)
"ABSENT",c(-32.8250026106173, -0.325000760395618)
"ABSENT",c(-85.425003859274, -13.1250006518585)
"ABSENT",c(-32.4250026011218, 2.02499921967765)
"ABSENT",c(-81.1250037571975, 9.97499915226594)
"ABSENT",c(-0.0250018319872822, -4.77500072266202)
"ABSENT",c(123.675001104492, 15.0249991094447)
"ABSENT",c(-73.4250035744093, -22.3250005738475)
"ABSENT",c(77.0249999970811, -25.7250005450173)
"ABSENT",c(-88.575003934051, -3.72500073156546)
"ABSENT",c(-175.525005998133, -38.125000439872)
"ABSENT",c(-172.175005918608, 21.3749990556001)
"ABSENT",c(-95.2250040919134, -12.9250006535544)
"ABSENT",c(-115.525004573809, -40.2250004220652)
"ABSENT",c(-39.4250027672929, 26.2749990140507)
"ABSENT",c(92.9250003745267, -38.125000439872)
"ABSENT",c(-97.6750041500733, 24.2749990310097)
"ABSENT",c(-118.875004653334, 17.524999088246)
"ABSENT",c(-159.625005620687, -24.5750005547687)
"ABSENT",c(-1.47500186640841, -36.4750004538631)
"ABSENT",c(-19.9750023055747, -21.9250005772393)
"ABSENT",c(-157.325005566088, -23.275000565792)
"ABSENT",c(0.674998184629828, -16.1250006264201)
"ABSENT",c(151.975001776298, -10.4750006743291)
"ABSENT",c(105.025000661765, -38.4750004369042)
"ABSENT",c(147.075001659978, 21.0749990581439)
"ABSENT",c(8.17499836267024, 0.624999231548891)
"ABSENT",c(-148.97500536787, -6.87500070485515)
"ABSENT",c(144.775001605379, -9.7250006806887)
"ABSENT",c(158.425001929413, -33.0250004831173)
"ABSENT",c(-59.9250032539366, 14.4749991141084)
"ABSENT",c(117.125000949004, -10.325000675601)
"ABSENT",c(-111.825004485976, 20.8249990602638)
"ABSENT",c(-101.025004229598, -27.025000533994)
"ABSENT",c(165.32500209321, 30.9749989741973)
"ABSENT",c(-114.325004545323, 28.0749989987877)
"ABSENT",c(96.0750004493037, 10.17499915057)
"ABSENT",c(-63.2250033322744, 26.6749990106589)
"ABSENT",c(-59.4250032420672, 28.4749989953959)
"ABSENT",c(45.6749992528722, -8.32500069255994)
"ABSENT",c(-146.325005304962, 29.4249989873404)
"ABSENT",c(98.975000518146, -6.32500070951886)
"ABSENT",c(167.025002133566, 18.4749990801905)
"ABSENT",c(52.4749994142955, -22.5250005721516)
"ABSENT",c(-140.675005170838, 4.42499919932694)
"ABSENT",c(-15.075002189255, -33.6750004776056)
"ABSENT",c(-4.72500194355925, -31.6750004945645)
"ABSENT",c(-118.575004646213, 20.4249990636556)
"ABSENT",c(37.7249990641494, -37.4250004458076)
"ABSENT",c(-46.32500293109, -26.5750005378098)
"ABSENT",c(-136.375005068762, -25.2250005492571)
"ABSENT",c(93.5750003899569, -17.8750006115811)
"ABSENT",c(-131.475004952442, 41.674998883467)
"ABSENT",c(153.675001816654, 9.92499915268991)
"ABSENT",c(-25.8250024444463, -9.22500068492842)
"ABSENT",c(-16.4750022224892, 5.72499918830364)
"ABSENT",c(-115.775004579744, 19.0249990755268)
"ABSENT",c(110.375000788767, -28.2750005233947)
"ABSENT",c(64.7749997062818, -7.87500069637569)
"ABSENT",c(-130.725004934638, -18.6750006047975)
"ABSENT",c(-60.3250032634321, 10.6749991463303)
"ABSENT",c(167.925002154931, 21.3749990556001)
"ABSENT",c(145.325001618436, 31.7749989674137)
"ABSENT",c(63.1749996682998, -30.3250005060118)
"ABSENT",c(-160.575005643239, -28.925000517883)
"ABSENT",c(98.175000499155, -35.2250004644625)
"ABSENT",c(102.725000607166, -32.0750004911728)
"ABSENT",c(131.625001293215, 2.62499921458997)
"ABSENT",c(117.425000956125, 23.2249990399131)
"ABSENT",c(-16.1750022153676, 23.8749990344014)
"ABSENT",c(53.3249994344735, -16.5250006230284)
"ABSENT",c(-25.4250024349508, 10.9749991437865)
"ABSENT",c(168.725002173922, 36.5249989271363)
"ABSENT",c(-177.075006034928, 22.3249990475446)
"ABSENT",c(148.375001690839, -3.47500073368532)
"ABSENT",c(105.325000668887, -1.62500074937233)
"ABSENT",c(-100.325004212981, 8.57499916413718)
"ABSENT",c(-81.7250037714407, 5.87499918703173)
"ABSENT",c(-103.92500429844, -37.6750004436878)
"ABSENT",c(-12.4250021263474, -23.9750005598564)
"ABSENT",c(142.425001549593, 2.97499921162216)
"ABSENT",c(-6.5750019874759, -19.2250006001338)
"ABSENT",c(-179.425006090714, -40.3750004207932)
"ABSENT",c(18.9749986190484, -40.3750004207932)
"ABSENT",c(85.725000203608, 10.8749991446344)
"ABSENT",c(165.32500209321, -9.87500067941677)
"ABSENT",c(153.025001801224, -9.7250006806887)
"ABSENT",c(137.525001433274, 7.6749991717687)
"ABSENT",c(156.975001894992, -4.32500072647778)
"ABSENT",c(60.3749996018314, 16.3249990984214)
"ABSENT",c(77.074999998268, -39.3250004296967)
"ABSENT",c(113.725000868292, 18.1749990827344)
"ABSENT",c(-30.1250025465228, 26.5749990115069)
"ABSENT",c(-110.725004459864, -14.6750006387154)
"ABSENT",c(135.675001389357, 26.724999010235)
"ABSENT",c(-50.6750030343535, 3.72499920526256)
"ABSENT",c(-47.4750029583896, 41.4249988855869)
"ABSENT",c(145.025001611314, -1.72500074852438)
"ABSENT",c(-84.2750038319744, 6.27499918363994)
"ABSENT",c(74.024999925865, -11.2750006675455)
"ABSENT",c(7.07499833655763, -33.3250004805734)
"ABSENT",c(-95.9750041097175, -39.7250004263049)
"ABSENT",c(-134.875005033154, 1.22499922646121)
"ABSENT",c(43.6249992042079, -27.9750005259385)
"ABSENT",c(69.2249998119191, -27.3250005314502)
"ABSENT",c(-74.8750036088305, -19.625000596742)
"ABSENT",c(152.825001796476, -0.225000761243564)
"ABSENT",c(-140.525005167277, -2.1250007451326)
"ABSENT",c(140.675001508051, 31.0249989737733)
"ABSENT",c(-6.92500199578444, -30.9250005009241)
"ABSENT",c(-72.7250035577922, 40.1749988961862)
"ABSENT",c(-152.525005452142, 0.474999232820814)
"ABSENT",c(-172.47500592573, -10.8250006713613)
"ABSENT",c(139.725001485499, 11.1249991425146)
"ABSENT",c(-159.125005608818, 6.92499917812829)
"ABSENT",c(112.025000827936, -16.9750006192126)
"ABSENT",c(-116.525004597548, -3.57500073283737)
"ABSENT",c(166.775002127631, 2.47499921586189)
"ABSENT",c(43.7249992065817, 10.9249991442104)
"ABSENT",c(110.925000801824, -38.7750004343604)
"ABSENT",c(-41.8250028242658, 24.1249990322816)
"ABSENT",c(141.075001517546, -39.875000425033)
"ABSENT",c(-179.125006083592, -28.775000519155)
"ABSENT",c(126.3250011674, 21.174999057296)
"ABSENT",c(-178.525006069349, -18.0250006103092)
"ABSENT",c(-170.325005874691, -31.0750004996522)
"ABSENT",c(-138.625005122174, -15.5750006310839)
"ABSENT",c(-80.6250037453281, 29.1749989894603)
"ABSENT",c(67.4249997691894, -9.47500068280856)
"ABSENT",c(123.725001105679, 34.8249989415513)
